USB,LIESTAL,Aarau,Viollier,Madrid,MATCH
Amikacin,Amikacin,Amikacin,AN-Amikacin,Amikacin,Amikacin
,,Amikacin 01 mg/l,,,Amikacin 1.0 mg/l
,,Amikacin 04 mg/l,,,Amikacin 4.0 mg/l
,,Amikacin 20 mg/l,,,Amikacin 20.0 mg/l
Aminoglykoside,,,,,Aminoglykoside
Amoxicillin...Clavulansaeure.bei.unkompliziertem.HWI,,,,,Amoxicillin...Clavulansaeure.bei.unkompliziertem.HWI
Amoxicillin...Clavulansaeure,Amoxicillin/Clavulansaeure,Amoxicillin-Clavulan,AMC-Amoxicillin/Clavulans\xc3\xa4ure,Amoxicillin...Clavulansaeure,Amoxicillin...Clavulansaeure
Amoxicillin...Clavulansaeure,Amoxicillin/Clavulansaeure,Amoxicillin...Clavulansaeure,AMC-Amoxicillin/Clavulans\xc3\xa4ure,Amoxicillin...Clavulansaeure,Amoxicillin...Clavulansaeure
Amoxicillin,,Amoxicillin,AMX-Amoxicillin,,Ampicillin...Amoxicillin
,Ampicillin,Ampicillin,AM-Ampicillin,Ampicillin,Ampicillin...Amoxicillin
,Benzylpenicillin,,P-Benzylpenicillin,,Benzylpenicillin
,Benzylpenicillin andere,,,,Benzylpenicillin andere
,Benzylpenicillin bei Meningitis,,,,Benzylpenicillin bei Meningitis
,Benzylpenicillin bei Pneumonie,,,,Benzylpenicillin bei Pneumonie
Amphotericin.B,,Amphotericin.B,,,Amphotericin.B
Amphotericin.B,,Amphothericin B,,,Amphotericin.B
Ampicillin...Amoxicillin,,,,,Ampicillin...Amoxicillin
Ampicillin...Sulbactam,,,SAM-Ampicillin/Sulbactam,Ampicillin...Sulbactam,Ampicillin...Sulbactam
Anidulafungin,,,,,Anidulafungin
Azithromycin,,Azithromycin,,Azithromycin,Azithromycin
Aztreonam,,Aztreonam,ATM-Aztreonam,Aztreonam,Aztreonam
Bacitracin,,Bacitracin,,,Bacitracin
Caspofungin,,Caspofungin,,,Caspofungin
,,,,Cefaclor,Cefaclor
,,Cefalotin/Cefazolin,,,
,,,,Cefalotin,Cefalotin
,,Cefamandol,,,Cefamandol
Cefazolin,,Cefazolin,,Cefazolin,Cefazolin
Cefepim.1,Cefepime,Cefepim,FEP-Cefepim,Cefepim,Cefepim
Cefepim,Cefepime,Cefepim,FEP-Cefepim,,Cefepim
Cefixim,,Cefixim,,,Cefixim
,,Cefoperazon-Sulbacta,,,Cefoperazon-Sulbacta
,,Cefotaxim,CTX-Cefotaxim,Cefotaxim,Cefotaxim
,,,,Cefotaxim..Clavulansaeure,Cefotaxim..Clavulansaeure
Cefoxitin.Screen,Cefoxitin Screening Staph,,OXSF-Cefoxitin-Screen,Cefoxitin.Screen,Cefoxitin.Screen
,Cefoxitin,Cefoxitin,FOX-Cefoxitin,Cefoxitin,Cefoxitin
Cefpodoxim,,Cefpodoxim,CPD-Cefpodoxim,,Cefpodoxim
Ceftarolin,,,,Ceftarolin,Ceftarolin
Ceftazidim.1,Ceftazidim,Ceftazidim,CAZ-Ceftazidim,Ceftazidim,Ceftazidim
,,,,Ceftazidim..Clavulansaeure,Ceftazidim..Clavulansaeure
Ceftazidim.Avibactam,,Ceftazidim.Avibactam,,,Ceftazidim.Avibactam
Ceftazidim.Avibactam,,Ceftazidim-Avibactam,,,Ceftazidim.Avibactam
,,Ceftibuten,,,Ceftibuten
Ceftazidim,Ceftazidim,,,,Ceftazidim
Ceftobiprol,,,,,Ceftobiprol
Ceftolozan...Tazobactam,,Ceftolozan...Tazobactam,,Ceftolozan...Tazobactam,Ceftolozan...Tazobactam
Ceftolozan...Tazobactam,,Ceftolozan-Tazobacta,,Ceftolozan...Tazobactam,Ceftolozan...Tazobactam
Ceftriaxon,Ceftriaxon,Ceftriaxon,CRO-Ceftriaxon,Ceftriaxon,Ceftriaxon
Cefuroxim.Axetil,,Cefuroxim.Axetil,CXMA-Cefuroxim-Axetil,,Cefuroxim
Cefuroxim,Cefuroxim iv,Cefuroxim,CXM-Cefuroxim,Cefuroxim,Cefuroxim
Cefuroxim,Cefuroxim oral,Cefuroxim,CXM-Cefuroxim,Cefuroxim,Cefuroxim
Chinolone,,,,,Chinolone
Chloramphenicol,,Chloramphenicol,C-Chloramphenicol,Chloramphenicol,Chloramphenicol
Ciprofloxacin,Ciprofloxacin,Ciprofloxacin,CIP-Ciprofloxacin,Ciprofloxacin,Ciprofloxacin
Clarithromycin,Clarithromycin,Clarithromycin,,Clindamycin,Clarithromycin
,,Clarithromycin 04,,,Clarithromycin 04
,,Clarithromycin 16,,,Clarithromycin 16
,,Clarithromycin 32,,,Clarithromycin 32
,,Clarithromycin 64,,,Clarithromycin 64
Clindamycin,Clindamycin,Clindamycin,CM-Clindamycin,,Clindamycin
,Clindamycin ind.,,ICR-Induzierbare Clindamycin Resistenz,Inducci\xc3\xb3nClindamycin,Clindamycin ind.
,,Clofazimin,,,Clofazimin
,,Clofazimin 0.25 mg/l,,,Clofazimin 0.25 mg/l
,,Clofazimin 0.5 mg/l,,,Clofazimin 0.5 mg/l
,,Clofazimin 1.0 mg/l,,,Clofazimin 1.0 mg/l
,,Clofazimin 2.0 mg/l,,,Clofazimin 2.0 mg/l
,,Clofazimin 4.0 mg/l,,,Clofazimin 4.0 mg/l
