2017-11-08T14-31-58,( - ),( C ),no peaks found,<0, no peaks found,<0
2017-11-08T14-38-38,( - ),( C ),no peaks found,<0, no peaks found,<0
2017-11-08T14-31-58,( - ),( C ),not reliable identification,1.29,not reliable identification,1.22
2017-11-08T14-31-58,( - ),( C ),not reliable identification,1.05,not reliable identification,1.03
2017-11-08T14-31-58,( - ),( C ),not reliable identification,1.17,not reliable identification,1.12
2017-11-08T14-31-58,( - ),( C ),not reliable identification,1.06,not reliable identification,1.02
2017-11-08T14-31-58,( - ),( C ),not reliable identification,1.08,not reliable identification,0.95
2017-11-08T14-31-58,( - ),( C ),not reliable identification,1.19,not reliable identification,1.1
2017-11-08T14-31-58,( - ),( C ),not reliable identification,0.96,not reliable identification,0.94
2017-11-08T14-31-58,( - ),( C ),not reliable identification,1.05,not reliable identification,1.04
2017-11-08T14-38-38,( - ),( C ),not reliable identification,1.25,not reliable identification,1.15
2017-11-08T14-38-38,( - ),( C ),not reliable identification,1.05,not reliable identification,1.03
2017-11-08T14-38-38,( - ),( C ),not reliable identification,1.22,not reliable identification,1.21
2017-11-08T14-38-38,( - ),( C ),not reliable identification,1.15,not reliable identification,1.14
2017-11-08T14-38-38,( - ),( C ),not reliable identification,1.18,not reliable identification,1.1
2017-11-08T14-38-38,( - ),( C ),not reliable identification,0.97,not reliable identification,0.96
2017-11-08T14-38-38,( - ),( C ),not reliable identification,1.08,not reliable identification,1.07
2017-11-08T14-38-38,( - ),( C ),not reliable identification,1.34,not reliable identification,1.18
071f6bbf-856b-4a02-9954-f45198441fc8,( ++ ),( A ),Streptococcus oralis,2.23,Streptococcus oralis,2.18
098a1c57-b9c6-4e88-9b0c-a3ea00b57170,( +++ ),( A ),Gardnerella vaginalis,2.39,Gardnerella vaginalis,2.37
0f7e5a94-e429-4bc7-a2b2-d29f68ff0236,( +++ ),( A ),Escherichia coli,2.31,Escherichia coli,2.31
2df2d83b-ba1e-4181-84f9-9452f820ac43,( +++ ),( A ),Streptococcus oralis,2.3,Streptococcus oralis,2.29
39a41d1a-f8c7-42c8-8dab-7216488ca9f8,( +++ ),( A ),Escherichia coli,2.38,Escherichia coli,2.37
4ab938dc-2530-4d0f-84aa-95c8a0a694b8,( +++ ),( C ),MIX!Microbacterium paraoxydans,2.35,Microbacterium paraoxydans,2.34
50abbb1b-84d6-4550-9e76-39b0475e07cb,( +++ ),( A ),MIX!Streptococcus agalactiae,2.61,Streptococcus agalactiae,2.56
56669778-3c3a-4018-a62e-704144f0b033,( + ),( B ),Gardnerella vaginalis,1.79,Gardnerella vaginalis,1.7
7a965c5d-441b-4f5d-9655-f407b529bcd2,( +++ ),( A ),Lactobacillus paracasei,2.38,Lactobacillus paracasei,2.26
8fa5de30-058c-4c64-82ce-dff2cba5ca9d,( ++ ),( A ),Gardnerella vaginalis,2.16,Gardnerella vaginalis,2.07
97414c72-0303-4f73-8146-f63a4b512939,( +++ ),( B ),Streptococcus dysgalactiae,2.33,Streptococcus dysgalactiae,2.3
b55e1a30-ea5a-4606-95ff-785cb6b45f1b,( +++ ),( A ),Escherichia coli,2.47,Escherichia coli,2.46
b9cf30c2-fb01-4dd2-be4b-3066663a6f00,( ++ ),( A ),Candida albicans,2.14,Candida albicans,2.1
baf8c060-d700-49e9-b68f-3b332b6e848a,( +++ ),( A ),Streptococcus agalactiae,2.42,Streptococcus agalactiae,2.37
d0e393a5-1287-442e-9fca-215bb85d2ee1,( ++ ),( B ),Streptococcus dysgalactiae,2.27,Streptococcus dysgalactiae,2.24
d6e11f06-1504-4d0d-9712-ea0ea4834a6b,( ++ ),( B ),Streptococcus oralis,2.18,Streptococcus oralis,2.17
db27c14f-ad41-47ec-b0fb-017d797ade46,( +++ ),( B ),Klebsiella pneumoniae,2.38,Klebsiella pneumoniae,2.34
e86013bf-8849-4ccf-ab33-743737f7b309,( +++ ),( A ),Streptococcus agalactiae,2.35,Streptococcus agalactiae,2.32
095f6a41-6af6-4ccd-b62c-94fee2d8dd63,( +++ ),( A ),Escherichia coli,2.31,Escherichia coli,2.23
1b7cbe2e-a231-40d5-bcd6-73a40492f25b,( +++ ),( A ),Staphylococcus aureus,2.44,Staphylococcus aureus,2.44
235cfd20-7984-4486-b41a-e3cf16da56d3,( +++ ),( A ),Staphylococcus aureus,2.41,Staphylococcus aureus,2.37
2635e455-f07c-4f19-9c5a-aa1b5afb0f83,( ++ ),( A ),Escherichia coli,2.29,Escherichia coli,2.24
3a6d40ca-1833-44b3-97ed-baf046e2a79e,( ++ ),( A ),Staphylococcus aureus,2.27,Staphylococcus aureus,2.24
3eadd6ec-779e-4b2e-898f-81aa5aaf4f33,( +++ ),( A ),Staphylococcus aureus,2.5,Staphylococcus aureus,2.48
45711c0f-c76d-4f67-9b0f-6b86cfcd5503,( +++ ),( A ),Pseudomonas aeruginosa,2.33,Pseudomonas aeruginosa,2.29
4b778e69-141f-4afe-9d04-ff6a8fd73375,( ++ ),( A ),Staphylococcus epidermidis,2.19,Staphylococcus epidermidis,2.08
4d6e3f9d-2cb4-4ae0-a0f8-c425e26562fb,( ++ ),( A ),Corynebacterium aurimucosum,2.1,Corynebacterium aurimucosum,2.08
50c4ae26-020d-466f-bbd4-4b3dd61d303c,( - ),( C ),not reliable identification,1.26,not reliable identification,1.23
58b7fba9-1d0c-4622-933d-4b4dc907fd8c,( +++ ),( B ),Enterobacter cloacae,2.31,Enterobacter kobei,2.19
656fae32-c04d-47a2-99b4-fa409017b5f5,( ++ ),( A ),Streptococcus dysgalactiae,2.21,Streptococcus dysgalactiae,2.21
6afcd340-96bf-4b42-837c-3fc28edc948f,( +++ ),( B ),Streptococcus oralis,2.36,Streptococcus oralis,2.3
6ddb3138-f0b2-4b90-a86a-5a0da4592bf6,( ++ ),( A ),Escherichia coli,2.25,Escherichia coli,2.17
709d4064-ce67-43ff-827f-0a53fcecede3,( ++ ),( A ),Escherichia coli,2.27,Escherichia coli,2.22
7466448e-c81e-456b-b7f9-29968248ad11,( +++ ),( A ),Staphylococcus aureus,2.43,Staphylococcus aureus,2.41
7e6a4477-d80f-4151-8116-f1458ab0e473,( ++ ),( B ),Streptococcus dysgalactiae,2.17,Streptococcus dysgalactiae,2.14
84d0fb70-3d9a-4ecb-93db-eebb11a4dd74,( +++ ),( A ),Staphylococcus aureus,2.41,Staphylococcus aureus,2.38
8f572d65-e9ee-4ba8-9c02-396b4ccd175e,( +++ ),( A ),Enterococcus faecalis,2.51,Enterococcus faecalis,2.44
939e6323-cbd4-4198-9c50-86f1588105db,( ++ ),( A ),Lactobacillus crispatus,2.12,Lactobacillus crispatus,1.9
981eb61d-1abd-4aa1-8cef-6d5eff2b8ade,( ++ ),( A ),Streptococcus dysgalactiae,2.15,Streptococcus dysgalactiae,1.98
ad5d2b5c-a9dc-4c9e-a4a8-ae4ea8854693,( ++ ),( B ),Enterobacter cloacae,2.28,Enterobacter kobei,2.25
b674c326-64d2-4c07-8cae-4208802b970b,( +++ ),( C ),MIX!Pasteurella canis,2.55,Pasteurella canis,2.39
c0c416e3-68fb-4695-9e47-15d611c12d62,( +++ ),( A ),Escherichia coli,2.31,Escherichia coli,2.24
cb2de13d-05ec-404b-a584-b1c4e14694a5,( ++ ),( B ),Gardnerella vaginalis,2.26,Gardnerella sp,2.25
cf129d49-b245-4938-a058-ed2fa016c7f2,( ++ ),( A ),Staphylococcus aureus,2.27,Staphylococcus aureus,2.27
cfc5dcb4-eb29-41c9-b828-a7ca23a5106f,( ++ ),( A ),Staphylococcus epidermidis,2.16,Staphylococcus epidermidis,1.91
d5e999f1-7dbb-43cb-be49-9826e7df20ba,( +++ ),( A ),Pseudomonas citronellolis,2.41,Pseudomonas citronellolis,2.34
