1bbed9ef-5449-4b53-a71c-244ade1bd802,( + ),( B ),Staphylococcus haemolyticus,1.84,Staphylococcus haemolyticus,1.78
e5a8ec39-48e5-4600-b585-19049b634598,( - ),( C ),not reliable identification,1.36,not reliable identification,1.36
e9cb963e-2552-49ae-877f-3def459d6075,( - ),( C ),not reliable identification,1.54,not reliable identification,1.48
002da3ac-c3d8-4505-b66d-2e9190caf23a,( ++ ),( A ),Aerococcus urinae,2.1,Aerococcus urinae,2.02
090c428a-1d8b-45cc-a007-8fc14bd65fbc,( + ),( B ),Staphylococcus epidermidis,1.97,Staphylococcus epidermidis,1.96
0d7c6ab5-01d2-4940-87af-d0c65fe48d86,( - ),( C ),no peaks found,< 0,no peaks found,< 0
0fdff325-839b-4441-9d08-dfc5ff8f7ad5,( +++ ),( A ),Gardnerella vaginalis,2.41,Gardnerella vaginalis,2.4
1b3a94d8-ceb9-4666-8bca-77d90ffbd56c,( ++ ),( A ),Lactobacillus jensenii,2.17,Lactobacillus jensenii,2.09
1b886102-be4a-4191-9f09-9cdb7ed05b09,( ++ ),( A ),Staphylococcus epidermidis,2.13,Staphylococcus epidermidis,2.11
24af1449-12fc-4c30-8216-523195f91dd1,( +++ ),( A ),Lactobacillus gasseri,2.3,Lactobacillus gasseri,2.26
28bd9428-6a69-4496-aead-e462278e48d2,( ++ ),( A ),Candida krusei,2.17,Candida krusei,2.17
2e8f8ce3-061d-4a84-a8a9-7ef34df6a715,( ++ ),( A ),Lactobacillus jensenii,2.21,Lactobacillus jensenii,1.93
35d3c511-916c-43da-af6a-d8cdef70308b,( ++ ),( A ),Staphylococcus epidermidis,2.19,Staphylococcus epidermidis,1.92
3ba33068-ec6f-412a-a3d3-d4b7013ae6a3,( +++ ),( A ),Enterococcus faecalis,2.41,Enterococcus faecalis,2.35
3e032fcc-3a6b-4cfe-866e-3bf4bad3a4ad,( - ),( C ),not reliable identification,1.41,not reliable identification,1.39
4789ebde-8673-4780-a70a-b8294171102b,( ++ ),( A ),Staphylococcus epidermidis,2,Staphylococcus epidermidis,1.93
4d7e7284-51ec-4929-8552-db68991fb7d5,( ++ ),( A ),Staphylococcus epidermidis,2.22,Staphylococcus epidermidis,2.15
59bf8819-c44b-4923-9096-01a9343e0d17,( + ),( B ),Staphylococcus epidermidis,1.99,Staphylococcus epidermidis,1.93
5d9b15b9-c027-4ac6-8466-78115a4b1021,( ++ ),( A ),Staphylococcus epidermidis,2.1,Staphylococcus epidermidis,2.04
64a36864-1d2e-4b4d-9e70-316adf09aa31,( ++ ),( A ),Lactobacillus gasseri,2.27,Lactobacillus gasseri,2.21
64f55070-25e1-4f2d-89df-36c1d8f41c36,( ++ ),( A ),Staphylococcus epidermidis,2.04,Staphylococcus epidermidis,1.92
67f50d29-4943-47d2-ae28-5b924e9fa59e,( - ),( C ),not reliable identification,1.45,not reliable identification,1.2
69c2fd55-6e70-44eb-a1d8-161b78e16e52,( +++ ),( A ),Streptococcus anginosus,2.39,Streptococcus anginosus,2.38
75ec7795-8cf9-4e54-8f51-87caaf03d815,( +++ ),( A ),Streptococcus anginosus,2.38,Streptococcus anginosus,2.36
