#  Klebsiella_pneumoniae
"mass.reference_peaks." "intensity.reference_peaks."
2689.60434992876 0.979342956694873
2856.13686916895 0.97212543554007
3146.78206036897 0.988800398208064
3580.28560504564 0.991289198606272
3622.98650363558 0.986311597809856
3853.09207995219 0.926082628173221
3872.170846475 0.974365355898457
4186.17388758404 0.975111996017919
4366.27455657496 0.998008959681434
4498.09925454255 0.979094076655052
4570.78122824519 0.988053758088601
4740.60013129276 0.997511199601792
4772.15382383198 0.997511199601792
5041.1697400995 0.979840716774515
5144.94551766848 0.99676455948233
5383.29689277536 0.986311597809856
5612.13466750975 0.93529118964659
5726.42324377564 0.956197112991538
6291.67826662808 0.957441513190642
6385.82645268942 0.985813837730214
7161.51220531512 0.99079143852663
7246.76558030138 0.99079143852663
7322.18758797512 0.912891986062718
7706.98991909305 0.940766550522648
7744.82885696056 0.968641114982578
8371.84928804198 0.981085116973619
8878.24196679244 0.932802389248382
8994.95738964905 0.984818317570931
9093.98080873326 0.904927824788452
9140.41649091779 0.980338476854156
9479.93182358021 0.992533598805376
9542.41828318246 0.992533598805376
10080.5751301635 0.967645594823295
10287.8773932069 0.988551518168243
