#  Staphylococcus_aureus
"mass.reference_peaks." "intensity.reference_peaks."
2150.67272333439 0.992037994133259
2650.5314592579 0.989942729431485
2936.1348660022 0.980444196116776
2964.96721100821 0.932253107975974
3056.47899364926 0.909903617823718
3176.71882439638 0.981002933370583
3210.87123110551 0.992736415700517
3306.91176259042 0.901243190389719
3422.54471946605 0.989803045118033
3444.32990345323 0.972761558876938
3585.30488055794 0.987987149043162
3784.5677621732 0.98952367649113
4046.72966339563 0.995530101969549
4076.45155825807 0.984914094147227
4307.32588220745 0.998323788238581
4345.40600303331 0.932532476602878
4447.59367848139 0.990222098058388
4591.67609564363 0.997485682357871
4815.43742014183 0.995530101969549
5054.45824819129 0.9038971923453
5242.65200982668 0.991898309819807
5305.38613440479 0.992457047073614
5771.2843182576 0.990920519625646
5875.42011547092 0.991898309819807
5934.63035470642 0.995390417656097
6355.87278742523 0.984075988266518
6425.65557260348 0.993574521581226
6553.71185005919 0.925268892303394
6615.64126884894 0.943846905992457
6846.38280042391 0.997625366671323
6890.93007046455 0.973180611817293
7171.33014397618 0.961866182427713
7245.96328285478 0.912138566838944
7569.39324507462 0.988266517670066
7802.12828794019 0.917167202123202
8093.27337426755 0.993714205894678
8152.46620939485 0.992596731387065
8893.35789967025 0.99650789216371
9181.85581934523 0.996926945104065
9629.14002677024 0.992876100013968
10106.5857823192 0.957256600083811
10482.7424279415 0.992596731387065
11539.5372302695 0.981142617684034
