1995e6cf-6151-47f9-9219-2b61eef39ac4;( +++ );( B );Streptococcus vestibularis;2.37;Streptococcus salivarius;2.21;
0884d1ed-ceb9-4cc1-b41e-caa7084b83b4;( +++ );( A );Enterococcus faecalis;2.38;Enterococcus faecalis;2.29;
25a6b941-997a-456f-b968-53c435f31460;( +++ );( A );Escherichia coli;2.43;Escherichia coli;2.32;
3f84f2d7-216a-4a57-8010-bcbac27b546c;( ++ );( A );Escherichia coli;2.29;Escherichia coli;2.28;
45b98f9a-7264-4f32-be05-3d1740654e97;( +++ );( A );Proteus mirabilis;2.38;Proteus mirabilis;2.23;
667f02f4-2fbf-4964-93ca-d0087d93c545;( +++ );( B );MIX!Klebsiella pneumoniae;2.57;Klebsiella pneumoniae;2.44;
67dcfdd6-84e9-44aa-9204-ea03deb61a0a;( +++ );( A );Proteus mirabilis;2.5;Proteus mirabilis;2.33;
75ad1204-b27a-4e11-ac4a-dbaa954991f1;( +++ );( A );Proteus mirabilis;2.53;Proteus mirabilis;2.42;
7d8f5bcf-020d-4bee-932a-fe7779eed73b;( + );( B );Candida dubliniensis;1.91;Candida dubliniensis;1.89;
d62fce03-4a3e-47ab-8306-37bdc6eee182;( +++ );( A );Morganella morganii;2.6;Morganella morganii;2.39;
e783c612-4835-44cd-8f8c-fefc2663c75a;( ++ );( A );Pseudomonas aeruginosa;2.15;Pseudomonas aeruginosa;2.1;
eee08fb0-0f92-4952-a3ef-988f105ca1b4;( +++ );( A );Escherichia coli;2.31;Escherichia coli;2.24;
48b3af4e-cf34-4b23-855e-9fefaf77aa3a;( ++ );( A );Gardnerella vaginalis;2.22;Gardnerella vaginalis;2.16;
57f91c8e-c8b3-40ae-a12f-8da4e7be44d2;( +++ );( A );Streptococcus anginosus;2.3;Streptococcus anginosus;2.24;
5a63b0ed-794d-461e-b69a-edb7cbca3ebc;( +++ );( A );Streptococcus agalactiae;2.37;Streptococcus agalactiae;2.28;
61f88f1f-c5bb-4b01-9e45-bf55424518f3;( +++ );( A );Streptococcus anginosus;2.35;Streptococcus anginosus;2.19;
669b80d8-a66f-4e74-bdf0-040d5be2f816;( ++ );( A );Gardnerella vaginalis;2.25;Gardnerella vaginalis;2.2;
6d808388-02d5-41a3-b11a-44168a525dd0;( +++ );( A );Streptococcus anginosus;2.44;Streptococcus anginosus;2.38;
8d621fed-269a-45c8-a4e1-0ed1157cc540;( ++ );( A );Staphylococcus aureus;2.22;Staphylococcus aureus;2.22;
8d6601bd-f948-4597-97ba-537ceb9c2cbe;( ++ );( A );Staphylococcus hominis;2.23;Staphylococcus hominis;2.13;
b6ea42c1-aef7-4154-bdd4-e653e7b43bf4;( +++ );( A );Streptococcus agalactiae;2.39;Streptococcus agalactiae;2.34;
badf3223-23eb-4327-a71b-35980419e56a;( ++ );( A );Streptococcus constellatus;2.16;Streptococcus constellatus;1.99;
f01d7dbb-09d4-4d7f-bca0-c0c16150a2b7;( +++ );( A );Streptococcus agalactiae;2.33;Streptococcus agalactiae;2.25;
f4692f49-2b7c-4ceb-820a-e89206d40801;( + );( B );Gardnerella vaginalis;1.99;Gardnerella vaginalis;1.95;
01ea8119-3ebf-4a5c-814b-2de6f22e1203;( +++ );( A );Streptococcus agalactiae;2.38;Streptococcus agalactiae;2.33;
0a4b1af8-e656-4925-a20c-13b04b7a45ed;( - );( C );not reliable identification;1.36;not reliable identification;1.09;
14e9e611-6eb2-4fbd-ab65-bacb5c8915f4;( +++ );( A );Gardnerella vaginalis;2.39;Gardnerella vaginalis;2.29;
2216b87f-a042-485d-afb2-6b234b8a5f55;( ++ );( A );Lactobacillus plantarum;2.12;Lactobacillus plantarum;2.03;
23c25eea-f546-49c8-a13e-313722bf2cee;( ++ );( B );Streptococcus lutetiensis;2.19;Streptococcus equinus;2.03;
2746607b-6454-420f-a2b1-f979fd5a44ed;( ++ );( B );Streptococcus lutetiensis;2.13;Streptococcus lutetiensis;2.04;
3409a445-8752-41f5-b523-014bd8b79eeb;( ++ );( A );Streptococcus pneumoniae;2.12;Streptococcus pneumoniae;2.1;
422fd7b9-573d-4068-9442-156980ac869e;( ++ );( A );Streptococcus lutetiensis;2.08;Streptococcus equinus;1.83;
4c1797a6-5f00-4ded-81f6-4a3d417fbb22;( ++ );( A );Gardnerella vaginalis;2.17;Gardnerella vaginalis;2.11;
54a17b89-1391-41dd-a86c-69126651797a;( +++ );( A );MIX!Streptococcus agalactiae;2.51;Streptococcus agalactiae;2.3;
5cafbd8e-d5f8-46ad-8c5b-f31f129bf519;( ++ );( A );Gardnerella vaginalis;2.19;Gardnerella vaginalis;2.1;
7059287e-c827-4b0f-9c4e-e82d8bf1c08b;( +++ );( A );Streptococcus agalactiae;2.34;Streptococcus agalactiae;2.33;
7439d3bd-6954-4307-84b1-542bf8242830;( +++ );( A );Neisseria meningitidis;2.34;Neisseria meningitidis;2.34;
7e20ffd5-b969-454b-bddd-3ce675af2790;( + );( B );Gardnerella vaginalis;1.96;Gardnerella vaginalis;1.88;
83ea5ae4-e0f1-401c-85ec-61e8b9241c29;( ++ );( A );Streptococcus agalactiae;2.23;Streptococcus agalactiae;2.22;
