12f852d2-17b9-4133-bbd3-47be6e6adf9c;( - );( C );no peaks found;<0;no peaks found;<0;
04357cbe-9cd5-4eb4-9db1-65eeb799e55a;( + );( B );Lactobacillus jensenii;1.95;Lactobacillus jensenii;1.76;
247eee48-133d-4373-b91a-4cd87785f2fd;( ++ );( B );Enterobacter asburiae;2.21;Enterobacter kobei;2.14;
12c59550-d9b1-4767-a17d-c6e3b7325cbb;( +++ );( A );MIX!Neisseria subflava;2.48;Neisseria subflava;2.46;
210af8ca-82ad-4fac-b1b4-d00d45d178d3;( ++ );( A );Lactobacillus jensenii;2.17;Lactobacillus jensenii;2.15;
2d41de04-fc8d-4abd-a1b4-371eebbff0d2;( +++ );( A );Staphylococcus aureus;2.43;Staphylococcus aureus;2.4;
4082491e-e314-4196-ad70-b72365b2839e;( +++ );( A );Haemophilus influenzae;2.5;Haemophilus influenzae;2.49;
503d302f-c637-40d0-9f8b-2016b5f49e46;( ++ );( A );Staphylococcus epidermidis;2.1;Staphylococcus epidermidis;1.93;
5ac7f6c1-e11b-4fa1-92e6-5956df266ca9;( +++ );( A );Escherichia coli;2.35;Escherichia coli;2.26;
615a7c79-97e5-4487-b8f9-0de10ca90ebb;( +++ );( C );Klebsiella oxytoca;2.43;Klebsiella oxytoca;2.4;
770663d8-df69-48c7-897d-44695c9a15fc;( + );( B );Candida albicans_(africana);1.89;Candida albicans;1.84;
7bff97e7-6dfe-4298-ae79-56b19d123e3e;( ++ );( A );Pseudomonas aeruginosa;2.24;Pseudomonas aeruginosa;2.19;
7e31caae-32ca-43c1-88f2-1ad89c29e629;( + );( B );Streptococcus constellatus;1.92;Streptococcus constellatus;1.87;
82a9f1f6-5949-406c-8ab4-7c4b6498f2ed;( - );( C );not reliable identification;1.65;not reliable identification;1.64;
8eb472fc-0fc3-41b7-aabd-cfe93ae4e9fc;( +++ );( B );Enterobacter cloacae;2.34;Enterobacter cloacae;2.25;
b90be028-c989-49e1-b7a3-a7c4363bce62;( +++ );( B );Streptococcus pyogenes;2.41;Streptococcus pyogenes;2.37;
b9cfcb0a-8d31-4c1a-9ada-efecbc5d1424;( +++ );( C );Klebsiella oxytoca;2.35;Klebsiella oxytoca;2.34;
c1d92332-0c46-460c-b9ba-ed67b14bfbe7;( - );( C );not reliable identification;1.44;not reliable identification;1.41;
c53bb5e4-e391-4884-b3a5-2943e877c671;( +++ );( A );Streptococcus anginosus;2.36;Streptococcus anginosus;2.33;
c88cd26e-3351-4a71-8edb-b6c9c96a7e63;( +++ );( A );MIX!Neisseria macacae;2.41;Neisseria macacae;2.4;
cb688a3d-1eee-44c9-9367-2ec03917c799;( +++ );( A );Pseudomonas aeruginosa;2.42;Pseudomonas aeruginosa;2.41;
ce25007c-2086-4c92-aefd-253b53b5834c;( ++ );( A );Streptococcus constellatus;2.02;Streptococcus constellatus;1.91;
e2337a60-a6ed-476b-9fc8-49301e576cb2;( +++ );( A );Streptococcus anginosus;2.39;Streptococcus anginosus;2.33;
e344256c-572f-4eaa-9167-e7b312054cb1;( +++ );( C );Klebsiella oxytoca;2.39;Klebsiella oxytoca;2.33;
ee0395f5-7628-4aa2-94e9-70d4c6edd62a;( +++ );( A );Pseudomonas aeruginosa;2.42;Pseudomonas aeruginosa;2.29;
0d0115b1-6014-4e5a-9bb7-30eb56700ed5;( ++ );( A );Staphylococcus epidermidis;2.28;Staphylococcus epidermidis;2.18;
122ae6c3-7f00-41d6-8ebf-4882f0de746c;( +++ );( A );Staphylococcus aureus;2.46;Staphylococcus aureus;2.41;
12abb5ea-cdcd-4a40-8fb4-acea823fe079;( +++ );( A );Streptococcus agalactiae;2.33;Streptococcus agalactiae;2.33;
2102e1f8-23e9-44d8-bdec-ba8ca9f62b2a;( ++ );( A );Staphylococcus capitis;2.23;Staphylococcus capitis;2.18;
2205366a-829d-4627-9414-c835d36edc5f;( ++ );( A );Serratia marcescens;2.17;Serratia marcescens;2.12;
30fece63-7912-4c20-83fd-2e4b89cd1292;( +++ );( A );Staphylococcus aureus;2.49;Staphylococcus aureus;2.45;
3945f5af-7c8e-44fb-89c1-c28de168edd4;( +++ );( A );Staphylococcus aureus;2.51;Staphylococcus aureus;2.44;
46b168e9-ac9a-4a5b-8a8a-ea51bc231b4c;( ++ );( A );Staphylococcus epidermidis;2.18;Staphylococcus epidermidis;2.17;
53aade45-d06e-458a-87b2-799fab50615f;( ++ );( A );Staphylococcus epidermidis;2.23;Staphylococcus epidermidis;2.15;
5e0fa139-c957-470b-90bc-bd3609d6bbb0;( +++ );( A );Enterococcus faecalis;2.36;Enterococcus faecalis;2.33;
6eadd6ca-d297-4c5b-9f2b-97807aaf46e1;( +++ );( A );Pseudomonas aeruginosa;2.39;Pseudomonas aeruginosa;2.34;
74f6bea1-8e3a-4e9d-bcfe-5727f586069a;( +++ );( A );Staphylococcus lugdunensis;2.44;Staphylococcus lugdunensis;2.33;
7abe11ad-7b9f-440b-901a-fd4c491101dc;( ++ );( A );Staphylococcus epidermidis;2.27;Staphylococcus epidermidis;2.09;
7b2a5ca5-e2d4-46fd-973d-ff959bacda68;( +++ );( B );Streptococcus constellatus;2.39;Streptococcus constellatus;2.13;
7be482d9-3790-466c-8a42-ea40e5c436ed;( +++ );( A );Staphylococcus aureus;2.44;Staphylococcus aureus;2.37;
8e4a2e3d-d0f7-4498-902c-8f5cb3281ff1;( ++ );( A );Staphylococcus epidermidis;2.26;Staphylococcus epidermidis;2.1;
