330be562-cfa5-4f41-a14a-64b20ca92704;( +++ );( A );Clostridium perfringens;2.34;Clostridium perfringens;2.34;
797e35e5-18d9-48e3-b7a9-bc550eb9064b;( +++ );( A );Pseudomonas aeruginosa;2.42;Pseudomonas aeruginosa;2.31;
7e9568bd-520f-4929-9e14-1e1afdaa0aed;( + );( B );Haemophilus haemolyticus;1.88;Haemophilus haemolyticus;1.84;
76050827-6eed-475d-a046-e4be91a1618a;( +++ );( A );Escherichia coli;2.35;Escherichia coli;2.28;
3414d94b-8ba9-447d-801b-e5a7413ac846;( ++ );( A );Streptococcus constellatus;2.24;Streptococcus constellatus;2.14;
3cc0280f-c56c-4ec8-942e-bd6cb439d1da;( +++ );( A );Lactobacillus paracasei;2.35;Lactobacillus paracasei;2.33;
a749bbf3-66f2-45e1-a933-1b6f97fe8251;( +++ );( A );Lactobacillus paracasei;2.3;Lactobacillus paracasei;2.29;
edfef569-84cb-4e23-8703-d497400099bb;( ++ );( A );Streptococcus constellatus;2.23;Streptococcus constellatus;2.02;
650eff31-756e-4397-a232-619208ebf15a;( +++ );( A );Bacteroides fragilis;2.45;Bacteroides fragilis;2.44;
bab44f73-ada2-47a8-b43e-3204f2da98a7;( ++ );( A );Propionibacterium acnes;2.1;Propionibacterium acnes;2.04;
e2cd1561-d7b5-4e41-b109-ae89c142568a;( ++ );( A );Propionibacterium acnes;2.11;Propionibacterium acnes;2.03;
f1ed4b32-523d-40b9-9807-0f970be0ecd0;( +++ );( A );Bacteroides fragilis;2.54;Bacteroides fragilis;2.53;
0dc09246-13bc-4757-8745-da41352e2e6f;( - );( C );not reliable identification;1.4;not reliable identification;1.38;
363ee527-da08-467b-96c5-4c29d42ff673;( - );( C );no peaks found;<0;no peaks found;<0;
92fd25af-4b6a-4da8-9db5-90dee5a2ff46;( ++ );( A );Sphingomonas paucimobilis;2.28;Sphingomonas paucimobilis;2.24;
94ec568b-51b2-493b-8808-cf7c43482b66;( - );( C );not reliable identification;1.46;not reliable identification;1.2;
bd8bdd71-4231-47f5-9ac3-045e459887ae;( ++ );( A );Sphingomonas paucimobilis;2.23;Sphingomonas paucimobilis;2.2;
c44a1827-69a1-442a-ba76-f64a33d1a354;( - );( C );no peaks found;<0;no peaks found;<0;
f0104002-41c4-4724-9ba5-b5cebf2b1b04;( ++ );( A );Escherichia coli;2.1;Escherichia coli;2.01;
a00c2500-766a-4412-9811-d22c05af3ac9;( + );( B );Candida kefyr;1.84;Candida kefyr;1.79;
067192c9-8cba-46e1-a8aa-4d7404fb0b92;( +++ );( A );Serratia marcescens;2.31;Serratia marcescens;2.23;
19251aa1-8376-49b9-bfef-3b362e629bd7;( + );( B );Staphylococcus lugdunensis;1.95;Staphylococcus aureus;1.77;
53851b97-add3-4dbc-8bac-6bd6e8328354;( +++ );( A );Pseudomonas aeruginosa;2.51;Pseudomonas aeruginosa;2.36;
55b45621-618f-4fa5-9676-f76402366fae;( ++ );( A );Turicella otitidis;2.2;Turicella otitidis;2.19;
61eb19b6-efff-4ee8-bef5-4c4651f3bbf0;( +++ );( A );Klebsiella pneumoniae;2.39;Klebsiella pneumoniae;2.33;
76ae6ef2-3bde-4853-81a5-fc1e6fe4a284;( +++ );( A );Haemophilus influenzae;2.49;Haemophilus influenzae;2.34;
77b0911b-a37c-4f98-8c91-e5d9b242c8af;( +++ );( A );Streptococcus agalactiae;2.34;Streptococcus agalactiae;2.33;
24855873-a869-4a48-ba91-4723efbb7bcf;( ++ );( A );Streptococcus oralis;2.29;Streptococcus oralis;2.19;
9459d251-335d-445d-a49a-866899130d8f;( ++ );( A );Staphylococcus lugdunensis;2.18;Staphylococcus lugdunensis;2.13;
9477faf1-91fe-49f5-8b7a-6b2fd3fcd5d2;( +++ );( B );Enterobacter cloacae;2.33;Enterobacter kobei;2.17;
bd7ea8da-5262-4936-befc-21b121f45b1b;( +++ );( B );Enterobacter cloacae;2.36;Enterobacter cloacae;2.21;
cafc5b68-fd8d-4004-bd15-f074dc6833dd;( ++ );( B );Serratia marcescens;2.24;Serratia marcescens;2.2;
29be5d96-2440-45b9-98df-005c71e59a01;( ++ );( A );Staphylococcus capitis;2.25;Staphylococcus capitis;2.23;
4bc1ba41-661f-4152-8c2a-e127ea175f98;( ++ );( A );Staphylococcus epidermidis;2.19;Staphylococcus epidermidis;2.14;
7388e6c0-fdf0-4857-a751-5a4ed00ee1bc;( ++ );( A );Corynebacterium amycolatum;2.28;Corynebacterium amycolatum;2.24;
896e318c-ec7d-47fa-821e-bb1873509a14;( ++ );( A );Staphylococcus epidermidis;2.17;Staphylococcus epidermidis;2.09;
90063435-acdd-43fa-a374-05cca22d9665;( +++ );( A );Enterococcus faecium;2.41;Enterococcus faecium;2.36;
cebcdf33-d9ff-43e9-954b-38ad627fda3f;( ++ );( B );Streptococcus mitis;2.25;Streptococcus pneumoniae;2.21;
e2ccb305-81a2-45ff-87c5-80243d069bfa;( ++ );( A );Staphylococcus capitis;2.19;Staphylococcus capitis;2.14;
f862203b-6154-47b5-b768-8cb299ab9134;( ++ );( A );Staphylococcus epidermidis;2.07;Staphylococcus epidermidis;2.04;
