01bff12b-ca5a-4987-8ab9-5f7e61147c0a;( ++ );( A );Staphylococcus warneri;2.12;Staphylococcus warneri;2.07;
214bd55c-eb36-40a8-9883-4003baf0e289;( ++ );( A );Staphylococcus epidermidis;2.07;Staphylococcus epidermidis;1.84;
91d0cc5a-030d-45d8-b48b-bd930bf3b788;( +++ );( A );Escherichia coli;2.34;Escherichia coli;2.29;
cf24d21d-9f43-4d69-a230-f6e88e50c3d1;( +++ );( A );Streptococcus intermedius;2.51;Streptococcus intermedius;2.44;
d7a56cba-bb68-427f-a961-d12e7d6460c5;( ++ );( A );Corynebacterium amycolatum;2.28;Corynebacterium amycolatum;2.15;
1ebed1bc-8117-4199-a285-b7ae06913bf7;( - );( C );not reliable identification;1.46;not reliable identification;1.39;
39af1214-fd93-4e5b-81b6-de35f235bab6;( +++ );( B );MIX!Neisseria subflava;2.47;Neisseria sicca;2.45;
ba07f3ec-a766-47f5-8eb7-cbb209ede139;( + );( B );Achromobacter insolitus;1.79;not reliable identification;1.61;
c0d53313-6f34-48c4-8ffd-4aff84b16903;( + );( B );Arcanobacterium haemolyticum;1.75;not reliable identification;1.67;
50eea3ee-bbeb-4426-ac91-7a0340e8bfe1;( +++ );( A );Staphylococcus aureus;2.52;Staphylococcus aureus;2.42;
70e87a53-f6f5-4418-83b5-0c415f5e851d;( + );( B );Candida dubliniensis;1.78;not reliable identification;1.48;
be447053-e91e-4f36-9c76-c82ef3bc65c6;( +++ );( A );Staphylococcus aureus;2.52;Staphylococcus aureus;2.39;
f1dab0ff-1049-4e13-b640-fa03124fe93a;( +++ );( A );Staphylococcus aureus;2.34;Staphylococcus aureus;2.29;
02809db1-87a4-42e9-baed-960c0e3b2b4c;( ++ );( A );Campylobacter coli;2.28;Campylobacter coli;2.03;
0895c5f0-f6a9-4f3d-8050-acd43905ffc9;( +++ );( A );Enterococcus faecalis;2.43;Enterococcus faecalis;2.36;
108fc281-b2a1-4e1a-b4d1-d05e0d44ab14;( +++ );( A );Campylobacter jejuni;2.36;Campylobacter jejuni;2.26;
31684c16-6cb0-4389-a275-ce072afee3b7;( +++ );( A );Campylobacter jejuni;2.35;Campylobacter jejuni;2.31;
35c5f9e1-c04a-46a0-a08a-5b554e77f5ea;( +++ );( A );Enterococcus faecalis;2.45;Enterococcus faecalis;2.35;
4843d2fd-f23d-436a-8b28-1f049d3f6bd3;( +++ );( A );Enterococcus faecalis;2.44;Enterococcus faecalis;2.35;
4deecf33-3d38-43d4-809f-b0d04a6e1c31;( +++ );( A );Campylobacter jejuni;2.39;Campylobacter jejuni;2.38;
520d8a64-b365-4afa-b587-d865c75f6527;( +++ );( A );Enterococcus faecalis;2.48;Enterococcus faecalis;2.47;
63794da1-08af-4541-b2ab-61e64d6a52bd;( + );( B );Campylobacter jejuni;1.91;Campylobacter jejuni;1.82;
66b9e27d-17f0-4f55-a95e-076441405206;( +++ );( A );Staphylococcus hominis;2.34;Staphylococcus hominis;2.33;
67e547f5-4261-4db8-8a66-414265847b0f;( ++ );( A );Arcobacter butzleri;2.1;Arcobacter butzleri;2.03;
69851c13-a936-4350-8424-a9d8840f77aa;( +++ );( A );Enterococcus faecalis;2.5;Enterococcus faecalis;2.5;
6abd1cbc-ad77-4a4d-a229-d8a6a0b06889;( +++ );( C );Enterococcus faecalis;2.52;Enterococcus faecalis;2.48;
6ee1490b-fe8c-4b07-bce8-af201d287433;( +++ );( A );Campylobacter jejuni;2.32;Campylobacter jejuni;2.3;
72439e3f-ada0-44ab-bb3e-f3db21a045ef;( ++ );( A );Campylobacter coli;2.27;Campylobacter coli;2.19;
aa57cde6-32a3-41b2-b340-ccf925c449db;( ++ );( A );Campylobacter coli;2.26;Campylobacter coli;2.2;
ac510a53-5fcf-44a3-b0e5-904f32ba5a69;( +++ );( A );Enterococcus faecalis;2.44;Enterococcus faecalis;2.41;
c7da20cc-efff-4c69-b124-cb4992c12aba;( +++ );( A );Enterococcus faecalis;2.42;Enterococcus faecalis;2.32;
c836eb40-3009-4749-8c85-78ab65ca66f5;( +++ );( A );Campylobacter jejuni;2.4;Campylobacter jejuni;2.36;
d695dd83-e71c-4d8c-aa40-950bf57c453e;( +++ );( A );Enterococcus faecalis;2.44;Enterococcus faecalis;2.44;
d826761f-c291-4453-96f7-8039f0fc6184;( +++ );( A );Campylobacter jejuni;2.38;Campylobacter jejuni;2.37;
de7d1ba0-3111-43a5-8342-e36f11f136d5;( +++ );( A );Campylobacter jejuni;2.35;Campylobacter jejuni;2.33;
f4dad968-6744-4c42-a986-84d5247eda3f;( +++ );( A );Campylobacter jejuni;2.43;Campylobacter jejuni;2.33;
f98bd09b-ecf7-4319-9b90-996ad77b2272;( +++ );( A );Enterococcus faecalis;2.46;Enterococcus faecalis;2.41;
08413433-bbf0-4632-a783-a43a13f1b64e;( ++ );( A );Staphylococcus epidermidis;2.14;Staphylococcus epidermidis;2.04;
0f6edce9-3ddd-42dc-958d-7286832f8db1;( +++ );( A );Flavonifractor plautii;2.3;Flavonifractor plautii;2.26;
1436335a-e2c2-4615-8ba7-20d5ef0ef496;( ++ );( A );Staphylococcus epidermidis;2.08;Staphylococcus epidermidis;2.07;
1e79b8dc-7da8-459c-84d1-959a1d05ead2;( +++ );( A );Bacteroides vulgatus;2.39;Bacteroides vulgatus;2.34;
23a53eac-032c-4b03-b02d-ee7b9ca17c49;( - );( C );no peaks found;<0;no peaks found;<0;
276b7a10-4f91-473a-802d-72ab43162ae7;( + );( B );Anaerococcus murdochii;1.92;Anaerococcus murdochii;1.89;
29b99a23-d89d-4956-999e-e6d356ab8a98;( - );( C );no peaks found;<0;no peaks found;<0;
2c243221-8457-426c-a6fc-dc8f203441e3;( ++ );( A );Prevotella veroralis;2.24;Prevotella veroralis;1.95;
35a2236d-0c7a-4e74-9073-f2cc394d5ca4;( + );( B );Staphylococcus epidermidis;1.88;Staphylococcus epidermidis;1.85;
362908b3-a003-483f-a742-4896ddeba11f;( + );( B );Corynebacterium pyruviciproducens;1.97;not reliable identification;1.67;
36fa523c-9fc3-4fea-8cee-1467a81f04e7;( ++ );( A );Anaerococcus sp;2.22;not reliable identification;1.63;
46abb760-678a-4e59-9878-defcda1dd96a;( - );( C );no peaks found;<0;no peaks found;<0;
507099f9-762b-4823-84a5-af4f05b5ba89;( ++ );( A );Staphylococcus epidermidis;2.14;Staphylococcus epidermidis;1.89;
5bedb0f4-c1e0-47df-b047-cf81ccd5ab4b;( - );( C );no peaks found;<0;no peaks found;<0;
6c2fff3d-43de-433c-950f-e1b52b53c799;( ++ );( A );Finegoldia magna;2.26;Finegoldia magna;2.19;
76fe0952-c661-419b-a7c4-8393bb12b30d;( ++ );( A );Staphylococcus epidermidis;2.07;Staphylococcus epidermidis;2.01;
7bb5063d-2239-4d22-8f52-7904290d72b9;( ++ );( A );Anaerococcus sp;2.16;not reliable identification;1.48;
7c1f5f01-4903-4731-abfd-aa61a7db32aa;( +++ );( A );Staphylococcus lugdunensis;2.31;Staphylococcus lugdunensis;2.28;
8ae7dae3-4749-4927-83f4-ff2d98824700;( ++ );( A );Bacillus circulans;2.01;not reliable identification;1.57;
9293aede-0a29-4f17-89cb-f39166b1a9b6;( ++ );( A );Staphylococcus epidermidis;2.22;Staphylococcus epidermidis;2.1;
95d3b1f5-43b0-4300-b482-79434ca303d8;( ++ );( A );Finegoldia magna;2.23;Finegoldia magna;2.07;
9c2a0fa0-d9dc-4a9e-b6d7-4273c0303224;( - );( C );no peaks found;<0;no peaks found;<0;
9e964405-c6be-4aab-9de4-5fe7cdbf539b;( + );( B );Fusobacterium sp[2];1.79;Fusobacterium nucleatum;1.78;
a39af3bc-cfd6-4545-aa25-e9a0b0c450ed;( +++ );( A );Bacteroides vulgatus;2.46;Bacteroides vulgatus;2.45;
c051634c-9c98-4f93-91b3-abde51bc6976;( - );( C );not reliable identification;1.42;not reliable identification;1.3;
c88bb5b1-3ccc-47df-ab82-5673193538c0;( + );( B );Staphylococcus epidermidis;1.93;Staphylococcus epidermidis;1.88;
ccdf2e72-4c0c-4888-81ae-a58b79024985;( - );( C );not reliable identification;1.33;not reliable identification;1.3;
dbae723d-1d13-4416-8739-1177ff984479;( - );( C );not reliable identification;1.24;not reliable identification;1.22;
e47a3507-66fc-4ed0-b981-c18f50f84402;( - );( C );not reliable identification;1.45;not reliable identification;1.35;
f2cb71bd-10ce-42e0-b388-04029263a93f;( - );( C );not reliable identification;1.68;not reliable identification;1.29;
f3415e52-b85f-4b7c-8e15-c09dde93a172;( ++ );( A );Staphylococcus epidermidis;2.19;Staphylococcus epidermidis;1.95;
fc5b13e9-da62-4c1d-8fb5-7f8d2f39aff3;( +++ );( A );Bacteroides vulgatus;2.41;Bacteroides vulgatus;2.36;
ff7f4a53-4ed3-46e3-bee7-a7997c0cb4eb;( + );( B );Campylobacter ureolyticus;1.71;not reliable identification;1.14;
0431234b-279b-4ca6-9fac-d755f067b87b;( +++ );( A );Propionibacterium acnes;2.33;Propionibacterium acnes;2.23;
18af2dd1-4ec6-49b3-855c-b661cdac079b;( +++ );( C );MIX!Corynebacterium lipophile_group_F1;2.41;Lactobacillus iners;1.7;
1d81da49-399d-4c50-9742-c0ad4290c968;( +++ );( A );Actinomyces neuii;2.36;Actinomyces neuii;2.35;
5846ccee-fc98-45b8-9a16-4db290185427;( - );( C );not reliable identification;1.58;not reliable identification;1.56;
58a414e9-8777-4371-ad2b-6736108c7eae;( +++ );( A );Actinomyces neuii;2.37;Actinomyces neuii;2.27;
5c294aa2-9634-42b3-b473-c6094bb0c7c3;( +++ );( A );Streptococcus agalactiae;2.35;Streptococcus agalactiae;2.26;
690342fa-0378-4c05-b196-b21ac074f7af;( +++ );( A );Streptococcus agalactiae;2.41;Streptococcus agalactiae;2.35;
95a98fac-6fa1-4285-b5d4-2b33553e130d;( +++ );( A );Streptococcus agalactiae;2.35;Streptococcus agalactiae;2.32;
96b6d978-aae8-4e38-95ca-373a7d089f98;( ++ );( A );Propionibacterium acnes;2.25;Propionibacterium acnes;2.25;
a2a74f17-ff43-464d-9b6a-8e2cb024e7cb;( +++ );( A );Enterococcus faecalis;2.44;Enterococcus faecalis;2.35;
a62accac-e136-42a6-8cf9-10036caf1bd3;( +++ );( A );Staphylococcus lugdunensis;2.51;Staphylococcus lugdunensis;2.38;
a92d533b-bb1b-41d9-80dc-d8606ba57d57;( +++ );( A );Streptococcus agalactiae;2.36;Streptococcus agalactiae;2.34;
b57b0d2a-99a8-494b-963a-4aa60bae702f;( +++ );( A );Streptococcus agalactiae;2.39;Streptococcus agalactiae;2.35;
c9c4430f-b353-41ca-8625-f726f32bfcaf;( +++ );( A );Enterococcus faecalis;2.43;Enterococcus faecalis;2.37;
